Period(s) RotD50Sa(g) RotD100Sa(g)
0.1 0.22868634554790024 0.2883252937587826
0.2 0.3344427423288241 0.42759339517152545
0.30000000000000004 0.2935732230744857 0.3638858648243511
0.4 0.31790684194190033 0.4756088194638878
0.5 0.3309537231594736 0.3508192775064591
0.6 0.3530722461477219 0.382618502052286
0.7000000000000001 0.38720503467495415 0.45496079023070657
0.8 0.3914721968601675 0.4581225136442061
0.9 0.3403596421914732 0.427483182158641
1.0 0.3139100289390673 0.4022921724658247
1.2 0.3180597185614807 0.40774807386937223
1.4 0.3517130453804068 0.4696099111574423
1.5999999999999999 0.3233793202559531 0.4268106849419821
1.7999999999999998 0.26336889909717676 0.3503264199903015
1.9999999999999998 0.19025657247042213 0.2759298586479027
2.1999999999999997 0.15104859147358346 0.21272826305143505
2.5 0.11508985977382176 0.15905051472121365
3.0 0.08654103690112205 0.12565344616259524
3.5 0.07870501613005129 0.09458593187461894
4.0 0.05630325607038707 0.07035278033001051
4.5 0.04045106636506461 0.06111314896539563
5.0 0.034154767964472955 0.04637504167951486
